variant,scenario,simulation,source_asset,trades,final_balance,total_return,cagr,max_drawdown,winrate,profit_factor,avg_trade,worst_trade,best_trade,ruined
simple_long_continuation,t_clustered_calendar_jump,17,ETH,265,6682.291864588326,-0.33177081354116744,-0.0774602496241471,0.7693267347442092,0.4,1.0046262438020719,0.00010424128479941057,-0.15902946228995665,0.3280196552818649,False
stable_default,t_clustered_calendar_jump,18,BTC,228,21571.12248684874,1.1571122486848742,0.16620405984872821,0.4754731690783619,0.5043859649122807,1.318784514371128,0.005606330774764933,-0.1428895321164164,0.1243479546127596,False
simple_long_continuation,t_clustered_calendar_jump,18,BTC,254,23679.231047541594,1.3679231047541593,0.18815614651990398,0.4179710306231226,0.5078740157480315,1.34802931781271,0.00583731959459938,-0.1428895321164164,0.1243479546127596,False
stable_default,t_clustered_calendar_jump,19,BTC,244,18720.328643830053,0.8720328643830053,0.13360745609482838,0.4479714203981129,0.47950819672131145,1.187018085412124,0.0035739051818975574,-0.16596265133858917,0.12526802226312836,False
simple_long_continuation,t_clustered_calendar_jump,19,BTC,289,17690.952319649692,0.7690952319649693,0.12085708767802661,0.43338235205674636,0.4532871972318339,1.1441016526951762,0.002661229176349364,-0.16596265133858917,0.12526802226312836,False
stable_default,historical_eth_btc_bootstrap,0,ETH,183,2575.544822638351,-0.7424455177361649,-0.23761591362879675,0.7788780191321469,0.37158469945355194,0.704928131928061,-0.006470782857183137,-0.13758388965027063,0.14395692949225722,False
simple_long_continuation,historical_eth_btc_bootstrap,0,ETH,242,1053.1757652414544,-0.8946824234758546,-0.3624706673720963,0.9014044113952642,0.3181818181818182,0.614366384889786,-0.008447340376640881,-0.13758388965027063,0.14395692949225722,False
stable_default,historical_eth_btc_bootstrap,1,ETH,178,766.7473012712667,-0.9233252698728733,-0.4016842280962406,0.9301849671391517,0.3202247191011236,0.4898774856487525,-0.013423947143205422,-0.1118143539057164,0.11607641156408963,False
simple_long_continuation,historical_eth_btc_bootstrap,1,ETH,218,530.885300203638,-0.9469114699796362,-0.4440955634670325,0.9516610301495595,0.2981651376146789,0.49585250871786235,-0.012543865468118847,-0.1118143539057164,0.11607641156408963,False
stable_default,historical_eth_btc_bootstrap,2,ETH,208,723.6194516556277,-0.9276380548344372,-0.40857177526041843,0.9347587775324546,0.33653846153846156,0.5589098380656214,-0.011444877794001263,-0.15874945118444533,0.16281060410225487,False
simple_long_continuation,historical_eth_btc_bootstrap,2,ETH,276,371.60355386032893,-0.9628396446139671,-0.4823741320279389,0.965857666245492,0.3079710144927536,0.5453730563975022,-0.010924932002604415,-0.15874945118444533,0.16281060410225487,False
stable_default,historical_eth_btc_bootstrap,3,ETH,209,3253.03461379199,-0.674696538620801,-0.20116380040457482,0.8433095122285224,0.3684210526315789,0.7992780279818915,-0.004508712315031325,-0.07287391246240142,0.4424217936764592,False
simple_long_continuation,historical_eth_btc_bootstrap,3,ETH,270,1560.0758634484982,-0.8439924136551502,-0.3103493600315753,0.9094113040131339,0.3296296296296296,0.7194166181358486,-0.006084058673749584,-0.07287391246240142,0.4424217936764592,False
stable_default,historical_eth_btc_bootstrap,4,BTC,214,725.9179723772596,-0.9274082027622741,-0.40819652661628736,0.9274082027622741,0.34579439252336447,0.5679947351258388,-0.010938550468926757,-0.3076044773855482,0.20502487051558835,False
simple_long_continuation,historical_eth_btc_bootstrap,4,BTC,276,257.93839113608846,-0.9742061608863911,-0.5188248422911941,0.9742061608863911,0.30434782608695654,0.5111371538358601,-0.012102583344722053,-0.3076044773855482,0.20502487051558835,False
stable_default,historical_eth_btc_bootstrap,5,BTC,218,3724.037745796942,-0.6275962254203058,-0.17926526331423187,0.6395715774857909,0.38990825688073394,0.8231190378037045,-0.0035815147979532643,-0.19329908324594938,0.13040243382763442,False
simple_long_continuation,historical_eth_btc_bootstrap,5,BTC,279,2488.637225554602,-0.7511362774445398,-0.2428318824583069,0.7511362774445398,0.36200716845878134,0.80053257722697,-0.004045844352520437,-0.19329908324594938,0.13040243382763442,False
stable_default,historical_eth_btc_bootstrap,6,ETH,193,3095.0332751989495,-0.690496672480105,-0.20907907699452866,0.7192206330885367,0.35233160621761656,0.7563929363734906,-0.005216555036262601,-0.07642721939650639,0.12352853969027808,False
simple_long_continuation,historical_eth_btc_bootstrap,6,ETH,249,1563.028907955943,-0.8436971092044057,-0.3100884715921707,0.8735890898506804,0.321285140562249,0.6860369709022985,-0.006626492724874581,-0.07971850171624183,0.12352853969027808,False
stable_default,historical_eth_btc_bootstrap,7,ETH,186,619.4207667117879,-0.9380579233288212,-0.4266799206778975,0.9408909666957738,0.2956989247311828,0.45103039051254906,-0.014034429921470972,-0.1243196160556311,0.10779546864846669,False
simple_long_continuation,historical_eth_btc_bootstrap,7,ETH,247,346.62781762079356,-0.9653372182379206,-0.4895271101439803,0.9662704494962489,0.27125506072874495,0.45584100484526047,-0.012805704745844491,-0.1243196160556311,0.11753786686427642,False
stable_default,historical_eth_btc_bootstrap,8,ETH,209,1402.6042730074573,-0.8597395726992543,-0.3248705831884736,0.8726114630325819,0.3684210526315789,0.6356105410260331,-0.008466745709530273,-0.11547910789659822,0.1159898834443556,False
simple_long_continuation,historical_eth_btc_bootstrap,8,ETH,273,1315.620963355987,-0.8684379036644013,-0.3334600923212315,0.8805115363250478,0.3553113553113553,0.70542988832357,-0.0064816084087633875,-0.11547910789659822,0.12287358425474418,False
stable_default,historical_eth_btc_bootstrap,9,BTC,211,1938.9877027168777,-0.8061012297283122,-0.27969735266133045,0.8190259821237353,0.36492890995260663,0.6757726845995163,-0.006938894645926776,-0.11256151249445674,0.15256294959824124,False
simple_long_continuation,historical_eth_btc_bootstrap,9,BTC,285,804.468754849366,-0.9195531245150634,-0.3959097362115629,0.9228165212144697,0.3192982456140351,0.6119295791937599,-0.008076246491822939,-0.11256151249445674,0.15256294959824124,False
stable_default,historical_eth_btc_bootstrap,10,BTC,207,739.8766506461714,-0.9260123349353828,-0.4059378750304744,0.9352228629938398,0.2995169082125604,0.5366464149290691,-0.011572460170521348,-0.11371496695706478,0.14840014982669852,False
simple_long_continuation,historical_eth_btc_bootstrap,10,BTC,265,385.1437615479194,-0.9614856238452081,-0.47865576735416127,0.9636895690391456,0.2641509433962264,0.5187514051630308,-0.01138290823347366,-0.11371496695706478,0.14840014982669852,False
stable_default,historical_eth_btc_bootstrap,11,ETH,202,1042.843426300245,-0.8957156573699755,-0.3637265208292789,0.9110821831775672,0.35148514851485146,0.5764017413937933,-0.010263440359128538,-0.11578518832509128,0.19374579097021702,False
simple_long_continuation,historical_eth_btc_bootstrap,11,ETH,274,528.4397253119621,-0.9471560274688038,-0.4446086754166829,0.9543572063145738,0.31386861313868614,0.5557538196839528,-0.009956983893320892,-0.11578518832509128,0.19374579097021702,False
stable_default,historical_eth_btc_bootstrap,12,BTC,215,676.7832199442145,-0.9323216780055785,-0.41643408656117675,0.9483472119427723,0.3395348837209302,0.5591704855573233,-0.011450119000050345,-0.11496375468735366,0.11500387022826088,False
simple_long_continuation,historical_eth_btc_bootstrap,12,BTC,288,235.78165185116563,-0.9764218348148834,-0.5273909853610762,0.9820049030000254,0.2881944444444444,0.5088210575610781,-0.012086871185752072,-0.11496375468735366,0.11500387022826088,False
stable_default,historical_eth_btc_bootstrap,13,BTC,212,1087.534751961822,-0.8912465248038178,-0.35836413888925345,0.8920067772037388,0.3160377358490566,0.6128519978721877,-0.009442972616529849,-0.09779040991002769,0.14633869769500416,False
simple_long_continuation,historical_eth_btc_bootstrap,13,BTC,279,401.6130650611919,-0.9598386934938808,-0.47427144486394335,0.9601194452546881,0.2831541218637993,0.5459879348873511,-0.010642765079086574,-0.09779040991002769,0.14633869769500416,False
stable_default,historical_eth_btc_bootstrap,14,BTC,198,1083.0573616346157,-0.8916942638365384,-0.3588933352096335,0.9110074593941926,0.3282828282828283,0.5788994832251344,-0.010265321101586424,-0.11623069679736117,0.15775811421764369,False
simple_long_continuation,historical_eth_btc_bootstrap,14,BTC,275,527.5423791308413,-0.9472457620869159,-0.4447974262334925,0.9525547755510342,0.3054545454545455,0.5823495177878955,-0.009793880498102453,-0.11623069679736117,0.15775811421764369,False
